Dates,portfolio_returns,baseline_returns,djia_returns,SXXP Index_returns,MXEU Index_returns
2017-12-15,-0.04395848439025879,0.1392777,0.19972885,0.02663175711414364,0.02734038386212284
2017-12-18,-0.043716428237915037,0.14538743,0.20656459,0.038453401036707975,0.03916960438699569
2017-12-19,-0.04783335025024414,0.14168751,0.20474204,0.03411615360203104,0.03454759106933017
2017-12-20,-0.04876079988098145,0.14074232,0.2033745,0.027107796466730137,0.027418723070896982
2017-12-21,-0.054803598037719725,0.14300744,0.20608228,0.03324341478895587,0.033764198981590304
2017-12-22,-0.07073764305114746,0.14248374,0.20470849,0.0321591029302866,0.03258911084998039
2017-12-25,-0.07292779006958008,0.14248374,0.20470849,0.0321591029302866,0.03258911084998039
2017-12-26,-0.07362885534667969,0.14127453,0.20432647,0.0321591029302866,0.031414022718370474
2017-12-27,-0.06709616925048828,0.14217721,0.20569351,0.032846715328467196,0.03298080689385043
2017-12-28,-0.06362675561523437,0.14427195,0.20876972,0.030202052258542302,0.0303172737955347
2017-12-29,-0.06064035264587402,0.13834102,0.20301293,0.029249973553369307,0.029455542499020687
2018-01-01,-0.06159771578979492,0.13834102,0.20301293,0.029249973553369307,0.029455542499020687
2018-01-02,-0.06035376898193359,0.14779308,0.20811272,0.027054903205331687,0.02702702702702694
2018-01-03,-0.06274289370727539,0.1551376,0.21291469,0.03200042314609125,0.031884057971014436
2018-01-04,-0.061504006683349606,0.15979123,0.22033405,0.041150957368031316,0.041206423815119395
2018-01-05,-0.0653284789428711,0.16794893,0.23107675,0.05085687083465571,0.05076380728554633
2018-01-08,-0.06855825030517577,0.16989046,0.23045044,0.053660213688776104,0.053740697218957974
2018-01-09,-0.07557189495849609,0.17141475,0.23545346,0.05815614090764839,0.05828437132784957
2018-01-10,-0.08053993127441406,0.17011186,0.23464218,0.054162699672061825,0.05475910693301982
2018-01-11,-0.0795081876220703,0.17834203,0.24464811,0.050592404527663164,0.05131218174696422
2018-01-12,-0.08054624175262451,0.18629536,0.25576654,0.053871786734370056,0.054289071680376076
2018-01-15,-0.08146445849609375,0.18629536,0.25576654,0.05212630910821956,0.05272228750489612
2018-01-16,-0.08824354196929932,0.18211429,0.2552638,0.0535015339045806,0.053819036427732114
2018-01-17,-0.0880405502243042,0.19324395,0.27097312,0.05249656193800916,0.05272228750489612
2018-01-18,-0.08557029498291016,0.1913152,0.26621154,0.05450650587115205,0.05475910693301982
2018-01-19,-0.0753488288269043,0.1965394,0.2688352,0.06019253147149051,0.060321190755973274
2018-01-22,-0.07094176808929444,0.20619155,0.2757887,0.06344546704749818,0.06368977673325496
2018-01-23,-0.07857007308197021,0.20881425,0.27560428,0.06529673119644556,0.06533490011750884
2018-01-24,-0.0871419693222046,0.20813735,0.27761465,0.059954511795197334,0.059851155503329305
2018-01-25,-0.08681846389007568,0.2088654,0.28446066,0.05405691314926478,0.05397571484527995
2018-01-26,-0.08796011157226563,0.22317982,0.2953583,0.05937268591981378,0.05906776341558944
2018-01-29,-0.08917825791931153,0.21494539,0.286733,0.057336295355971664,0.05726596161378772
2018-01-30,-0.08106577465820312,0.20170394,0.2690868,0.04760393525864805,0.047630238934586636
2018-01-31,-0.07064948120117187,0.20229155,0.27261516,0.04585845763249755,0.04551508029768901
2018-02-01,-0.08411538488769531,0.20151235,0.27443144,0.040648471384745595,0.039717978848413577
2018-02-02,-0.08701966508483887,0.17603002,0.2420313,0.02631439754575264,0.025538582060321117
2018-02-05,-0.08785076446533203,0.12783723,0.18483719,0.010261292711308568,0.00963572267920086
